species,size,motility,feeding,tiering
Scaphopoda_1,medium,facultative,carnivore,shallow_infaunal
Cephalopoda_1,large,fast_moving,carnivore,benthopelagic
Chondrichthyes_1,large,fast_moving,carnivore,benthopelagic
Actinopterygii_1,medium,fast_moving,carnivore,benthopelagic
Cephalopoda_2,medium,fast_moving,carnivore,benthopelagic
Gastropoda_1,medium,slow_moving,carnivore,epifaunal
Gastropoda_2,small,slow_moving,carnivore,epifaunal
Bivalvia_1,medium,facultative,herbivore,deep_infaunal
Annelida_ichnofossil_1,small,facultative,herbivore,deep_infaunal
Bivalvia_2,medium,facultative,herbivore,shallow_infaunal
Annelida_ichnofossil_2,small,facultative,herbivore,shallow_infaunal
Bivalvia_3,small,facultative,herbivore,shallow_infaunal
Crustacea_ichnofossil_2,tiny,facultative,herbivore,shallow_infaunal
Crustacea_ichnofossil_4,small,fast_moving,herbivore,deep_infaunal
Crustacea_1,medium,fast_moving,herbivore,epifaunal
Bivalvia_4,medium,nonmotile_attached,herbivore,epifaunal
Crinoidea_1,medium,nonmotile_attached,herbivore,epifaunal
Rhynchonelliformea_1,medium,nonmotile_attached,herbivore,epifaunal
Bivalvia_5,small,nonmotile_attached,herbivore,epifaunal
Porifera_1,small,nonmotile_attached,herbivore,epifaunal
Rhynchonelliformea_2,small,nonmotile_attached,herbivore,epifaunal
Bryozoa_1,tiny,nonmotile_attached,herbivore,epifaunal
Foraminifera_1,tiny,nonmotile_attached,herbivore,epifaunal
Microconchida_2,tiny,nonmotile_attached,herbivore,epifaunal
Bivalvia_6,medium,nonmotile_attached,herbivore,semi_infaunal
Bivalvia_7,small,nonmotile_attached,herbivore,semi_infaunal
Linguliformea_1,small,nonmotile_attached,herbivore,shallow_infaunal
Bivalvia_8,medium,nonmotile_unattached,herbivore,epifaunal
Foraminifera_2,small,nonmotile_unattached,herbivore,epifaunal
Foraminifera_3,tiny,nonmotile_unattached,herbivore,epifaunal
Bivalvia_9,medium,nonmotile_unattached,herbivore,semi_infaunal
Annelida_ichnofossil_3,medium,slow_moving,herbivore,deep_infaunal
Gastropoda_3,medium,slow_moving,herbivore,epifaunal
Crustacea_2,small,slow_moving,herbivore,epifaunal
Gastropoda_4,small,slow_moving,herbivore,epifaunal
Crustacea_3,tiny,slow_moving,herbivore,epifaunal
Gastropoda_5,medium,slow_moving,herbivore,shallow_infaunal
Annelida_ichnofossil_5,small,slow_moving,herbivore,shallow_infaunal
Gastropoda_6,small,slow_moving,herbivore,shallow_infaunal
Conodonta_2,small,fast_moving,microcarnivore,nektopelagic
Echinoidea_1,medium,slow_moving,omnivore,epifaunal
Gastropoda_7,medium,slow_moving,omnivore,epifaunal
Gastropoda_8,small,slow_moving,omnivore,epifaunal
