"locality","i","j","time","variable","long_name","units","value"
"Greenland",20,28,0.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,1.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,4.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,9.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,19.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,49.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,99.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,199.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,499.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,999.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,1999.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,4999.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,9999.5,"grid_level","grid definition","n/a",1
"Greenland",20,28,0.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,1.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,4.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,9.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,19.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,49.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,99.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,199.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,499.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,999.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,1999.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,4999.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,9999.5,"grid_mask","land-sea mask","n/a",1
"Greenland",20,28,0.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,1.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,4.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,9.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,19.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,49.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,99.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,199.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,499.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,999.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,1999.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,4999.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,9999.5,"grid_topo","ocean depth","m",5000
"Greenland",20,28,0.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.0347154214978218
"Greenland",20,28,1.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.0367766469717026
"Greenland",20,28,4.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.0391998179256916
"Greenland",20,28,9.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.0400766581296921
"Greenland",20,28,19.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.041341308504343
"Greenland",20,28,49.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.041657842695713
"Greenland",20,28,99.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.04171122610569
"Greenland",20,28,199.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.0445146448910236
"Greenland",20,28,499.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.047822892665863
"Greenland",20,28,999.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.052350290119648
"Greenland",20,28,1999.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.0633128136396408
"Greenland",20,28,4999.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.0636711046099663
"Greenland",20,28,9999.5,"eco2D_Plankton_C_001","C Biomass - Popn. #001 (0.60 micron phytoplankton)","mmol C m^-3",0.0637321323156357
"Greenland",20,28,0.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.191039383411407
"Greenland",20,28,1.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.194655507802963
"Greenland",20,28,4.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.19098399579525
"Greenland",20,28,9.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.18353459239006
"Greenland",20,28,19.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.176961153745651
"Greenland",20,28,49.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.176663503050804
"Greenland",20,28,99.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.181957185268402
"Greenland",20,28,199.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.196208506822586
"Greenland",20,28,499.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.210661321878433
"Greenland",20,28,999.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.221573784947395
"Greenland",20,28,1999.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.225118368864059
"Greenland",20,28,4999.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.224967524409294
"Greenland",20,28,9999.5,"eco2D_Plankton_C_002","C Biomass - Popn. #002 (1.90 micron phytoplankton)","mmol C m^-3",0.224895671010017
"Greenland",20,28,0.5,"eco2D_Plankton_C_003","C Biomass - Popn. #003 (6.00 micron phytoplankton)","mmol C m^-3",0.443412452936172
"Greenland",20,28,1.5,"eco2D_Plankton_C_003","C Biomass - Popn. #003 (6.00 micron phytoplankton)","mmol C m^-3",0.43667259812355
"Greenland",20,28,4.5,"eco2D_Plankton_C_003","C Biomass - Popn. #003 (6.00 micron phytoplankton)","mmol C m^-3",0.413007408380508
"Greenland",20,28,9.5,"eco2D_Plankton_C_003","C Biomass - Popn. #003 (6.00 micron phytoplankton)","mmol C m^-3",0.398336052894592
"Greenland",20,28,19.5,"eco2D_Plankton_C_003","C Biomass - Popn. #003 (6.00 micron phytoplankton)","mmol C m^-3",0.375960677862167
"Greenland",20,28,49.5,"eco2D_Plankton_C_003","C Biomass - Popn. #003 (6.00 micron phytoplankton)","mmol C m^-3",0.373934030532837
"Greenland",20,28,99.5,"eco2D_Plankton_C_003","C Biomass - Popn. #003 (6.00 micron phytoplankton)","mmol C m^-3",0.378735780715942
"Greenland",20,28,199.5,"eco2D_Plankton_C_003","C Biomass - Popn. #003 (6.00 micron phytoplankton)","mmol C m^-3",0.358732432126999
