"species","motility","tiering","feeding","size","bodymass","biomass"
"0.60_phytoplankton","primary","primary","primary","primary",0.006,0.0637321323156357
"1.90_phytoplankton","primary","primary","primary","primary",0.019,0.224895671010017
"6.00_phytoplankton","primary","primary","primary","primary",0.06,0.211649268865585
"19.00_phytoplankton","primary","primary","primary","primary",0.19,0.099378801882267
"60.00_phytoplankton","primary","primary","primary","primary",0.6,2.72734723694157e-08
"190.00_phytoplankton","primary","primary","primary","primary",1.9,5.57507616461006e-11
"600.00_phytoplankton","primary","primary","primary","primary",6,1.38516819542245e-11
"1900.00_phytoplankton","primary","primary","primary","primary",19,4.20832682937466e-12
"0.60_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.006,1.01181903133796e-10
"1.90_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.019,0.0319133996963501
"6.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.06,0.0942725762724876
"19.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.19,0.162354603409767
"60.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.6,0.234557896852493
"190.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",1.9,0.210161715745926
"600.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",6,1.64533595081728e-10
"1900.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",19,2.96446339698164e-11
