"species","motility","tiering","feeding","size","bodymass","biomass"
"0.60_phytoplankton","primary","primary","primary","primary",0.006,0.0883640646934509
"1.90_phytoplankton","primary","primary","primary","primary",0.019,0.155166313052177
"6.00_phytoplankton","primary","primary","primary","primary",0.06,0.0884175300598145
"19.00_phytoplankton","primary","primary","primary","primary",0.19,0.020191814750433
"60.00_phytoplankton","primary","primary","primary","primary",0.6,5.61483637362414e-11
"190.00_phytoplankton","primary","primary","primary","primary",1.9,1.40284025715309e-11
"600.00_phytoplankton","primary","primary","primary","primary",6,4.03326851083907e-12
"1900.00_phytoplankton","primary","primary","primary","primary",19,1.19017567069141e-12
"0.60_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.006,3.85084186760309e-10
"1.90_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.019,0.036174587905407
"6.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.06,0.0785401239991188
"19.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.19,0.118798404932022
"60.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.6,0.156251400709152
"190.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",1.9,0.110271327197552
"600.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",6,7.86808326824762e-11
"1900.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",19,1.96296694177089e-11
