"species","motility","tiering","feeding","size","bodymass","biomass"
"0.60_phytoplankton","primary","primary","primary","primary",0.006,0.0398296304047108
"1.90_phytoplankton","primary","primary","primary","primary",0.019,0.245834603905678
"6.00_phytoplankton","primary","primary","primary","primary",0.06,0.322504848241806
"19.00_phytoplankton","primary","primary","primary","primary",0.19,0.183408603072166
"60.00_phytoplankton","primary","primary","primary","primary",0.6,4.76468919874407e-10
"190.00_phytoplankton","primary","primary","primary","primary",1.9,3.95514766771132e-11
"600.00_phytoplankton","primary","primary","primary","primary",6,1.09205413809099e-11
"1900.00_phytoplankton","primary","primary","primary","primary",19,3.2000047143349e-12
"0.60_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.006,5.39848617198135e-11
"1.90_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.019,0.0181695800274611
"6.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.06,0.0974969416856766
"19.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.19,0.189958974719048
"60.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.6,0.286574959754944
"190.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",1.9,0.232652261853218
"600.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",6,9.9453820179285e-11
"1900.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",19,2.59456397339042e-11
