"species","motility","tiering","feeding","size","bodymass","biomass"
"0.60_phytoplankton","primary","primary","primary","primary",0.006,0.118739023804665
"1.90_phytoplankton","primary","primary","primary","primary",0.019,0.116619065403938
"6.00_phytoplankton","primary","primary","primary","primary",0.06,0.030984940007329
"19.00_phytoplankton","primary","primary","primary","primary",0.19,1.59856100578892e-10
"60.00_phytoplankton","primary","primary","primary","primary",0.6,1.85882073622246e-11
"190.00_phytoplankton","primary","primary","primary","primary",1.9,5.32741992881336e-12
"600.00_phytoplankton","primary","primary","primary","primary",6,1.58797215828177e-12
"1900.00_phytoplankton","primary","primary","primary","primary",19,4.73756288105892e-13
"0.60_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.006,1.01837857591214e-10
"1.90_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.019,0.0190030671656132
"6.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.06,0.0753970742225647
"19.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.19,0.0793166980147362
"60.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",0.6,3.17400022931125e-10
"190.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",1.9,3.2307274910881e-11
"600.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",6,6.890430500478e-12
"1900.00_zooplankton","zooplankton","zooplankton","zooplankton","zooplankton",19,1.01541843509911e-12
