net_id,net_type,stage,S4_C1,S4_R1,S4_C2
1,atn_nestedbm,creation,1,2,15
1,atn_nestedbm,creation,1,2,30
1,atn_nestedbm,creation,1,2,31
1,atn_nestedbm,creation,1,2,38
1,atn_nestedbm,creation,1,2,39
1,atn_nestedbm,creation,1,3,15
1,atn_nestedbm,creation,1,3,30
1,atn_nestedbm,creation,1,3,31
1,atn_nestedbm,creation,1,3,38
1,atn_nestedbm,creation,1,3,39
1,atn_nestedbm,creation,1,4,15
1,atn_nestedbm,creation,1,4,30
1,atn_nestedbm,creation,1,4,31
1,atn_nestedbm,creation,1,4,38
1,atn_nestedbm,creation,1,4,39
1,atn_nestedbm,creation,1,5,30
1,atn_nestedbm,creation,1,5,38
1,atn_nestedbm,creation,1,6,15
1,atn_nestedbm,creation,1,6,30
1,atn_nestedbm,creation,1,6,31
1,atn_nestedbm,creation,1,6,38
1,atn_nestedbm,creation,1,6,39
1,atn_nestedbm,creation,1,7,15
1,atn_nestedbm,creation,1,7,30
1,atn_nestedbm,creation,1,7,31
1,atn_nestedbm,creation,1,7,38
1,atn_nestedbm,creation,1,7,39
1,atn_nestedbm,creation,1,8,15
1,atn_nestedbm,creation,1,8,30
1,atn_nestedbm,creation,1,8,31
1,atn_nestedbm,creation,1,8,38
1,atn_nestedbm,creation,1,8,39
1,atn_nestedbm,creation,1,9,15
1,atn_nestedbm,creation,1,9,30
1,atn_nestedbm,creation,1,9,31
1,atn_nestedbm,creation,1,9,38
1,atn_nestedbm,creation,1,9,39
1,atn_nestedbm,creation,1,10,15
1,atn_nestedbm,creation,1,10,30
1,atn_nestedbm,creation,1,10,31
1,atn_nestedbm,creation,1,10,38
1,atn_nestedbm,creation,1,10,39
1,atn_nestedbm,creation,1,11,30
1,atn_nestedbm,creation,1,11,38
1,atn_nestedbm,creation,1,12,30
1,atn_nestedbm,creation,1,12,31
1,atn_nestedbm,creation,1,12,38
1,atn_nestedbm,creation,1,12,39
1,atn_nestedbm,creation,1,13,30
1,atn_nestedbm,creation,1,13,38
1,atn_nestedbm,creation,1,14,30
1,atn_nestedbm,creation,1,14,38
1,atn_nestedbm,creation,1,15,18
1,atn_nestedbm,creation,1,15,19
1,atn_nestedbm,creation,1,15,23
1,atn_nestedbm,creation,1,15,24
1,atn_nestedbm,creation,1,15,25
1,atn_nestedbm,creation,1,16,30
1,atn_nestedbm,creation,1,16,31
1,atn_nestedbm,creation,1,16,38
1,atn_nestedbm,creation,1,16,39
1,atn_nestedbm,creation,1,18,30
1,atn_nestedbm,creation,1,18,31
1,atn_nestedbm,creation,1,18,38
1,atn_nestedbm,creation,1,18,39
1,atn_nestedbm,creation,1,19,30
1,atn_nestedbm,creation,1,19,31
1,atn_nestedbm,creation,1,19,38
1,atn_nestedbm,creation,1,19,39
1,atn_nestedbm,creation,1,20,30
1,atn_nestedbm,creation,1,20,31
1,atn_nestedbm,creation,1,20,38
1,atn_nestedbm,creation,1,20,39
1,atn_nestedbm,creation,1,21,30
1,atn_nestedbm,creation,1,21,38
1,atn_nestedbm,creation,1,23,30
1,atn_nestedbm,creation,1,23,31
