spp_id,gen,vul,can,net_id,net_type,community,stage,S4_consumer,S4_resource,S5_consumer,S5_resource
17,8,1,true,1,metaweb,turkiye,creation,0,0,0,0
20,8,7,true,1,metaweb,turkiye,creation,0,0,0,0
29,0,27,true,1,metaweb,turkiye,creation,0,0,0,0
34,8,1,true,1,metaweb,turkiye,creation,0,0,0,0
7,8,6,true,1,metaweb,turkiye,creation,0,0,0,0
2,19,3,false,1,metaweb,turkiye,creation,192,0,28,0
23,8,6,false,1,metaweb,turkiye,creation,184,8,28,0
40,8,1,false,1,metaweb,turkiye,creation,176,16,28,0
12,8,7,false,1,metaweb,turkiye,creation,168,24,28,0
18,8,6,false,1,metaweb,turkiye,creation,160,32,28,0
13,8,1,false,1,metaweb,turkiye,creation,152,40,28,0
9,8,6,false,1,metaweb,turkiye,creation,144,48,28,0
24,24,6,false,1,metaweb,turkiye,creation,136,56,28,0
10,8,6,false,1,metaweb,turkiye,creation,128,64,28,0
22,8,1,false,1,metaweb,turkiye,creation,120,72,28,0
26,0,27,false,1,metaweb,turkiye,creation,112,80,28,0
3,19,3,false,1,metaweb,turkiye,creation,104,88,28,0
5,11,7,false,1,metaweb,turkiye,creation,96,96,28,0
30,0,27,false,1,metaweb,turkiye,creation,88,104,28,0
31,0,27,false,1,metaweb,turkiye,creation,80,112,28,0
28,0,27,false,1,metaweb,turkiye,creation,72,120,28,0
38,8,1,false,1,metaweb,turkiye,creation,64,128,28,0
37,8,1,false,1,metaweb,turkiye,creation,0,0,28,0
8,8,0,true,1,metaweb,turkiye,creation,0,0,0,0
35,8,1,true,1,metaweb,turkiye,creation,0,0,0,0
25,24,6,false,1,metaweb,turkiye,creation,164,136,56,119
33,0,27,false,1,metaweb,turkiye,creation,164,136,48,127
41,8,1,false,1,metaweb,turkiye,creation,164,136,40,135
27,0,27,false,1,metaweb,turkiye,creation,164,136,32,143
21,8,7,false,1,metaweb,turkiye,creation,164,136,24,151
39,8,1,false,1,metaweb,turkiye,creation,164,136,16,159
14,8,7,false,1,metaweb,turkiye,creation,164,136,8,167
6,8,0,false,1,metaweb,turkiye,creation,164,136,0,175
1,19,3,false,1,metaweb,turkiye,creation,136,56,0,35
19,8,6,false,1,metaweb,turkiye,creation,144,48,0,35
32,0,27,false,1,metaweb,turkiye,creation,152,40,0,35
16,8,7,false,1,metaweb,turkiye,creation,160,32,0,35
4,16,6,false,1,metaweb,turkiye,creation,168,24,0,35
15,8,1,false,1,metaweb,turkiye,creation,176,16,0,35
11,8,7,false,1,metaweb,turkiye,creation,184,8,0,35
36,8,1,false,1,metaweb,turkiye,creation,192,0,0,35
17,4,1,false,1,down_niche_empiricalbm,turkiye,creation,15,0,15,0
20,4,7,false,1,down_niche_empiricalbm,turkiye,creation,5,3,19,0
29,0,20,false,1,down_niche_empiricalbm,turkiye,creation,5,3,11,2
34,4,1,true,1,down_niche_empiricalbm,turkiye,creation,0,0,0,0
7,6,4,false,1,down_niche_empiricalbm,turkiye,creation,3,5,6,0
2,8,0,false,1,down_niche_empiricalbm,turkiye,creation,67,0,6,0
23,3,0,false,1,down_niche_empiricalbm,turkiye,creation,80,5,29,6
40,3,0,false,1,down_niche_empiricalbm,turkiye,creation,75,10,15,0
