spp_id,gen,vul,net_id,net_type,community,stage
56,5,1,1,down_power,dolomites,creation
34,3,4,1,down_power,dolomites,creation
43,19,4,1,down_power,dolomites,creation
40,3,1,1,down_power,dolomites,creation
12,4,7,1,down_power,dolomites,creation
13,3,0,1,down_power,dolomites,creation
24,5,1,1,down_power,dolomites,creation
49,0,26,1,down_power,dolomites,creation
5,18,3,1,down_power,dolomites,creation
31,4,7,1,down_power,dolomites,creation
38,3,6,1,down_power,dolomites,creation
45,0,16,1,down_power,dolomites,creation
28,7,5,1,down_power,dolomites,creation
37,3,5,1,down_power,dolomites,creation
8,2,0,1,down_power,dolomites,creation
35,3,6,1,down_power,dolomites,creation
27,4,6,1,down_power,dolomites,creation
21,2,4,1,down_power,dolomites,creation
6,19,5,1,down_power,dolomites,creation
32,5,0,1,down_power,dolomites,creation
16,5,3,1,down_power,dolomites,creation
57,4,0,1,down_power,dolomites,creation
42,35,6,1,down_power,dolomites,creation
15,3,1,1,down_power,dolomites,creation
17,6,6,1,down_power,dolomites,creation
20,5,6,1,down_power,dolomites,creation
29,4,5,1,down_power,dolomites,creation
7,8,5,1,down_power,dolomites,creation
2,12,1,1,down_power,dolomites,creation
23,3,1,1,down_power,dolomites,creation
18,1,5,1,down_power,dolomites,creation
9,4,1,1,down_power,dolomites,creation
55,4,0,1,down_power,dolomites,creation
53,6,0,1,down_power,dolomites,creation
10,2,5,1,down_power,dolomites,creation
22,5,1,1,down_power,dolomites,creation
26,4,5,1,down_power,dolomites,creation
3,7,0,1,down_power,dolomites,creation
30,1,2,1,down_power,dolomites,creation
52,7,0,1,down_power,dolomites,creation
48,0,21,1,down_power,dolomites,creation
54,4,0,1,down_power,dolomites,creation
51,0,25,1,down_power,dolomites,creation
41,35,4,1,down_power,dolomites,creation
25,6,5,1,down_power,dolomites,creation
33,6,6,1,down_power,dolomites,creation
58,6,1,1,down_power,dolomites,creation
39,5,7,1,down_power,dolomites,creation
47,0,24,1,down_power,dolomites,creation
14,2,0,1,down_power,dolomites,creation
44,0,21,1,down_power,dolomites,creation
1,5,6,1,down_power,dolomites,creation
19,4,7,1,down_power,dolomites,creation
46,0,26,1,down_power,dolomites,creation
50,0,23,1,down_power,dolomites,creation
59,4,1,1,down_power,dolomites,creation
4,26,3,1,down_power,dolomites,creation
11,4,7,1,down_power,dolomites,creation
36,3,1,1,down_power,dolomites,creation
56,8,1,1,metaweb,dolomites,creation
34,8,7,1,metaweb,dolomites,creation
43,28,7,1,metaweb,dolomites,creation
40,8,2,1,metaweb,dolomites,creation
12,8,8,1,metaweb,dolomites,creation
13,8,2,1,metaweb,dolomites,creation
24,8,2,1,metaweb,dolomites,creation
49,0,43,1,metaweb,dolomites,creation
5,31,4,1,metaweb,dolomites,creation
31,8,8,1,metaweb,dolomites,creation
