spp_id,gen,vul,net_id,net_type,community,stage
17,3,2,1,down_power,tibet,creation
20,9,2,1,down_power,tibet,creation
29,3,1,1,down_power,tibet,creation
34,4,2,1,down_power,tibet,creation
7,3,2,1,down_power,tibet,creation
2,5,0,1,down_power,tibet,creation
23,0,10,1,down_power,tibet,creation
12,1,1,1,down_power,tibet,creation
18,4,2,1,down_power,tibet,creation
13,6,0,1,down_power,tibet,creation
9,2,1,1,down_power,tibet,creation
24,0,15,1,down_power,tibet,creation
10,3,1,1,down_power,tibet,creation
22,0,11,1,down_power,tibet,creation
26,0,13,1,down_power,tibet,creation
3,5,2,1,down_power,tibet,creation
5,6,1,1,down_power,tibet,creation
30,3,1,1,down_power,tibet,creation
31,5,3,1,down_power,tibet,creation
28,0,14,1,down_power,tibet,creation
8,3,2,1,down_power,tibet,creation
35,5,0,1,down_power,tibet,creation
25,0,13,1,down_power,tibet,creation
33,4,0,1,down_power,tibet,creation
27,0,13,1,down_power,tibet,creation
21,0,10,1,down_power,tibet,creation
14,5,2,1,down_power,tibet,creation
6,7,1,1,down_power,tibet,creation
1,6,1,1,down_power,tibet,creation
19,20,1,1,down_power,tibet,creation
32,3,1,1,down_power,tibet,creation
16,2,0,1,down_power,tibet,creation
4,2,0,1,down_power,tibet,creation
15,1,0,1,down_power,tibet,creation
11,6,1,1,down_power,tibet,creation
36,4,1,1,down_power,tibet,creation
17,8,2,1,metaweb,tibet,creation
20,17,3,1,metaweb,tibet,creation
29,8,3,1,metaweb,tibet,creation
34,8,3,1,metaweb,tibet,creation
7,8,2,1,metaweb,tibet,creation
2,8,0,1,metaweb,tibet,creation
23,0,24,1,metaweb,tibet,creation
12,8,3,1,metaweb,tibet,creation
18,8,3,1,metaweb,tibet,creation
13,8,1,1,metaweb,tibet,creation
9,8,3,1,metaweb,tibet,creation
24,0,24,1,metaweb,tibet,creation
10,8,1,1,metaweb,tibet,creation
22,0,24,1,metaweb,tibet,creation
26,0,24,1,metaweb,tibet,creation
3,8,2,1,metaweb,tibet,creation
5,8,2,1,metaweb,tibet,creation
30,8,3,1,metaweb,tibet,creation
31,8,3,1,metaweb,tibet,creation
28,0,24,1,metaweb,tibet,creation
8,8,3,1,metaweb,tibet,creation
35,8,3,1,metaweb,tibet,creation
25,0,24,1,metaweb,tibet,creation
33,8,3,1,metaweb,tibet,creation
27,0,24,1,metaweb,tibet,creation
21,0,24,1,metaweb,tibet,creation
14,8,2,1,metaweb,tibet,creation
6,8,2,1,metaweb,tibet,creation
1,14,1,1,metaweb,tibet,creation
19,20,2,1,metaweb,tibet,creation
32,8,3,1,metaweb,tibet,creation
16,8,1,1,metaweb,tibet,creation
4,8,0,1,metaweb,tibet,creation
15,8,1,1,metaweb,tibet,creation
11,8,1,1,metaweb,tibet,creation
36,8,3,1,metaweb,tibet,creation
17,7,3,1,niche,tibet,creation
20,7,5,1,niche,tibet,creation
29,0,5,1,niche,tibet,creation
34,0,3,1,niche,tibet,creation
7,3,3,1,niche,tibet,creation
2,5,2,1,niche,tibet,creation
23,2,4,1,niche,tibet,creation
12,2,2,1,niche,tibet,creation
18,0,4,1,niche,tibet,creation
13,7,1,1,niche,tibet,creation
9,2,2,1,niche,tibet,creation
24,3,4,1,niche,tibet,creation
10,2,2,1,niche,tibet,creation
22,2,5,1,niche,tibet,creation
26,0,5,1,niche,tibet,creation
3,18,2,1,niche,tibet,creation
5,5,3,1,niche,tibet,creation
30,1,6,1,niche,tibet,creation
31,0,9,1,niche,tibet,creation
28,7,6,1,niche,tibet,creation
8,1,3,1,niche,tibet,creation
35,0,3,1,niche,tibet,creation
25,2,4,1,niche,tibet,creation
33,0,7,1,niche,tibet,creation
27,0,7,1,niche,tibet,creation
21,1,4,1,niche,tibet,creation
14,3,2,1,niche,tibet,creation
6,0,3,1,niche,tibet,creation
1,12,2,1,niche,tibet,creation
19,8,4,1,niche,tibet,creation
32,0,8,1,niche,tibet,creation
16,0,3,1,niche,tibet,creation
4,16,3,1,niche,tibet,creation
15,7,3,1,niche,tibet,creation
11,12,2,1,niche,tibet,creation
36,0,1,1,niche,tibet,creation
17,5,0,1,down_rand,tibet,creation
20,8,2,1,down_rand,tibet,creation
29,5,2,1,down_rand,tibet,creation
34,2,2,1,down_rand,tibet,creation
7,5,1,1,down_rand,tibet,creation
2,2,0,1,down_rand,tibet,creation
23,0,13,1,down_rand,tibet,creation
12,5,0,1,down_rand,tibet,creation
18,6,0,1,down_rand,tibet,creation
13,4,1,1,down_rand,tibet,creation
9,5,3,1,down_rand,tibet,creation
24,0,14,1,down_rand,tibet,creation
10,4,0,1,down_rand,tibet,creation
22,0,14,1,down_rand,tibet,creation
26,0,15,1,down_rand,tibet,creation
3,3,1,1,down_rand,tibet,creation
5,4,0,1,down_rand,tibet,creation
30,5,1,1,down_rand,tibet,creation
31,4,3,1,down_rand,tibet,creation
28,0,10,1,down_rand,tibet,creation
8,5,1,1,down_rand,tibet,creation
35,2,1,1,down_rand,tibet,creation
25,0,10,1,down_rand,tibet,creation
33,3,1,1,down_rand,tibet,creation
27,0,9,1,down_rand,tibet,creation
21,0,14,1,down_rand,tibet,creation
14,3,2,1,down_rand,tibet,creation
6,3,1,1,down_rand,tibet,creation
1,6,1,1,down_rand,tibet,creation
19,10,1,1,down_rand,tibet,creation
32,7,2,1,down_rand,tibet,creation
16,4,1,1,down_rand,tibet,creation
4,5,0,1,down_rand,tibet,creation
15,4,0,1,down_rand,tibet,creation
11,7,1,1,down_rand,tibet,creation
36,4,3,1,down_rand,tibet,creation
17,6,2,1,down_link,tibet,creation
20,10,3,1,down_link,tibet,creation
29,4,2,1,down_link,tibet,creation
34,5,3,1,down_link,tibet,creation
7,4,1,1,down_link,tibet,creation
2,2,0,1,down_link,tibet,creation
23,0,8,1,down_link,tibet,creation
12,4,3,1,down_link,tibet,creation
18,7,3,1,down_link,tibet,creation
13,4,1,1,down_link,tibet,creation
9,4,2,1,down_link,tibet,creation
24,0,9,1,down_link,tibet,creation
10,3,1,1,down_link,tibet,creation
22,0,12,1,down_link,tibet,creation
26,0,10,1,down_link,tibet,creation
3,1,1,1,down_link,tibet,creation
5,3,2,1,down_link,tibet,creation
30,4,2,1,down_link,tibet,creation
31,5,2,1,down_link,tibet,creation
28,0,11,1,down_link,tibet,creation
8,4,2,1,down_link,tibet,creation
35,5,3,1,down_link,tibet,creation
25,0,8,1,down_link,tibet,creation
33,2,3,1,down_link,tibet,creation
27,0,13,1,down_link,tibet,creation
21,0,10,1,down_link,tibet,creation
14,3,2,1,down_link,tibet,creation
6,4,1,1,down_link,tibet,creation
1,12,1,1,down_link,tibet,creation
19,9,2,1,down_link,tibet,creation
32,4,2,1,down_link,tibet,creation
16,7,0,1,down_link,tibet,creation
4,5,0,1,down_link,tibet,creation
15,3,1,1,down_link,tibet,creation
11,3,1,1,down_link,tibet,creation
36,3,3,1,down_link,tibet,creation
17,6,0,1,down_niche,tibet,creation
20,4,0,1,down_niche,tibet,creation
29,6,1,1,down_niche,tibet,creation
34,2,3,1,down_niche,tibet,creation
7,4,2,1,down_niche,tibet,creation
2,4,0,1,down_niche,tibet,creation
23,0,9,1,down_niche,tibet,creation
12,4,1,1,down_niche,tibet,creation
18,5,0,1,down_niche,tibet,creation
13,6,0,1,down_niche,tibet,creation
9,6,2,1,down_niche,tibet,creation
24,0,16,1,down_niche,tibet,creation
10,3,0,1,down_niche,tibet,creation
22,0,4,1,down_niche,tibet,creation
26,0,17,1,down_niche,tibet,creation
3,5,1,1,down_niche,tibet,creation
5,4,2,1,down_niche,tibet,creation
30,5,2,1,down_niche,tibet,creation
