"scenario","df_res","term","sumsq","df","statistic","p.value","F_text"
"bm_high",1248,"net_type",1.239272592342,6,22.8082068625155,"<0.05","$F_{6,1248}$ = 22.8"
"bm_low",1248,"net_type",1.83260587609274,6,22.3217054502486,"<0.05","$F_{6,1248}$ = 22.3"
"degree_high",1248,"net_type",2.06853885639185,6,46.700360118897,"<0.05","$F_{6,1248}$ = 46.7"
"degree_low",1248,"net_type",1.39017405985168,6,30.1135181191426,"<0.05","$F_{6,1248}$ = 30.1"
"gen_high",1248,"net_type",1.00658488967998,6,20.9888112078914,"<0.05","$F_{6,1248}$ = 21.0"
"gen_low",1248,"net_type",1.42222078496552,6,30.8969155206539,"<0.05","$F_{6,1248}$ = 30.9"
"rand_basal",1248,"net_type",2.52782926677183,6,109.277743235067,"<0.05","$F_{6,1248}$ = 109.3"
"rand_consumer",1248,"net_type",1.01212642895987,6,22.853903314634,"<0.05","$F_{6,1248}$ = 22.9"
"vul_high",1248,"net_type",1.31213095020337,6,30.0419903594787,"<0.05","$F_{6,1248}$ = 30.0"
"vul_low",1248,"net_type",1.20704298718508,6,26.0129602519203,"<0.05","$F_{6,1248}$ = 26.0"
